Sort_Key,Translate,Resort,Century,Quatrain,Merged_Line,Line,Couplet,French,English,
2000004,#VALUE!,8,2,0,2,4,B,,,
3000001,#VALUE!,9,3,0,1,1,A,,,
3000002,#VALUE!,9,3,0,1,2,B,,,
3000003,#VALUE!,9,3,0,2,3,A,,,
3000004,#VALUE!,9,3,0,2,4,B,,,
4000001,#VALUE!,10,4,0,1,1,A,,,
4000002,#VALUE!,10,4,0,1,2,B,,,
4000003,#VALUE!,10,4,0,2,3,A,,,
4000004,#VALUE!,10,4,0,2,4,B,,,
5000001,#VALUE!,11,5,0,1,1,A,,,
5000002,#VALUE!,11,5,0,1,2,B,,,
5000003,#VALUE!,11,5,0,2,3,A,,,
5000004,#VALUE!,11,5,0,2,4,B,,,
6000001,#VALUE!,12,6,0,1,1,A,,,
6000002,#VALUE!,12,6,0,1,2,B,,,
6000003,#VALUE!,12,6,0,2,3,A,,,
6000004,#VALUE!,12,6,0,2,4,B,,,
7000101,"The arc of the treasure deceived by Achilles,",1,7,1,1,1,A,L'Arc du thresor par Achilles deceu.,"The arc of the treasure deceived by Achilles,",
7000102,the quadrangle known to the procreators.,1,7,1,1,2,B,Aux procrees sceu la quadrangulaire :,the quadrangle known to the procreators.,
7000103,The invention will be known by the Royal deed;,1,7,1,2,3,A,"Au faict Royal le comment sera sceu,",The invention will be known by the Royal deed;,
7000104,a corpse seen hanging in the sight of the populace.,1,7,1,2,4,B,Corps veu pendu au veu du populaire.,a corpse seen hanging in the sight of the populace.,
8000101,"Pau, Nay, Loron will be more of fire than blood,",2,8,1,1,1,A,"PAv, nay, loron plus feu qu'à sang sera,","Pau, Nay, Loron will be more of fire than blood,","Several will be confused in their waiting,"
8000102,"to swim in praise, the great one to flee to the confluence (of rivers).",2,8,1,1,2,B,"Laude nager, fuir grand aux surrez.","to swim in praise, the great one to flee to the confluence (of rivers).",Pardon will not be given the inhabitants:
8000103,He will refuse entry to the magpies,2,8,1,2,3,A,"Les agassas entrée refusera,",He will refuse entry to the magpies,"Those who thought well of persisting in the waiting,"
8000104,Pampon and the Durance will keep them confined.,2,8,1,2,4,B,"Pampon, Durance les tiendra enserrez.",Pampon and the Durance will keep them confined.,But not much spare time will be given them.
9000101,"In the house of the translator of Bourg,",3,9,1,1,1,A,DAns la maison du traducteur de Bourc,"In the house of the translator of Bourg,",
9000102,"The letters will be found on the table,",3,9,1,1,2,B,"Seront les lettres trouuées sur la table,","The letters will be found on the table,",
9000103,"One-eyed, red-haired, white, hoary-headed will hold the course,",3,9,1,2,3,A,"Borgne, roux blanc, chenu tiendra de cours,","One-eyed, red-haired, white, hoary-headed will hold the course,",
9000104,Which will change for the new Constable.,3,9,1,2,4,B,Qui changera au nouueau Connestable.,Which will change for the new Constable.,
10000101,"To the enemy, the enemy faith promised",4,10,1,1,1,A,"A L'ennemy, l'ennemy foy promise","To the enemy, the enemy faith promised",
10000102,"Will not be kept, the captives retained:",4,10,1,1,2,B,"Ne se tiendra, les captifs retenus :","Will not be kept, the captives retained:",
10000103,"One near death captured, and the remainder in their shirts,",4,10,1,2,3,A,"Prins preme mort, & le reste en chemise,","One near death captured, and the remainder in their shirts,",
10000104,The remainder damned for being supported.,4,10,1,2,4,B,Donnant le reste pour estre secourus.,The remainder damned for being supported.,
11000101,"New century, new alliance,",5,11,1,1,1,A,"Siecle nouueau, alliance nouuelle,","New century, new alliance,",
11000102,"A Marquisate put in the bark,",5,11,1,1,2,A,"Vn Marquiƒat mis dedans la naƒƒelle,","A Marquisate put in the bark,",
11000103,"To him who the stronger of the two will carry it off,",5,11,1,2,3,B,A qui plus fort des deux l'emportera :,"To him who the stronger of the two will carry it off,",
11000104,"Of a Duke and of a King, falley of Florence,",5,11,1,3,4,C,"D'vn Duc, d'vn Roy gallere de Florence,","Of a Duke and of a King, falley of Florence,",
11000105,"Port at Marseilles, the Damsel in France,",5,11,1,3,5,C,"Port à Marceille, pucelle dans la France,","Port at Marseilles, the Damsel in France,",
11000106,The chief fort of Catherine will be razed.,5,11,1,2,6,B,De Catherine fort chef on raƒera.,The chief fort of Catherine will be razed.,
12000101,#VALUE!,6,12,1,1,1,A,,,
12000102,#VALUE!,6,12,1,1,2,B,,,
12000103,#VALUE!,6,12,1,2,3,A,,,
12000104,#VALUE!,6,12,1,2,4,B,,,
1000101,Sitting alone at night in secret study;,7,1,1,1,1,A,"Estant assis de nuict secret estude,",Sitting alone at night in secret study;,
1000102,it is placed on the brass tripod.,7,1,1,1,2,B,Seul reposé fus la selle d'airain;,it is placed on the brass tripod.,
1000103,A slight flame comes out of the emptiness and,7,1,1,2,3,A,Flambe exigue sortant de solitude,A slight flame comes out of the emptiness and,
1000104,makes successful that which should not be believed in vain.,7,1,1,2,4,B,Feit proferer qui n'est à croire en vain.,makes successful that which should not be believed in vain.,
2000101,Towards Aquitaine by the British Isles,8,2,1,1,1,A,Vers Aquitaine par insuls Britaniques,Towards Aquitaine by the British Isles,
2000102,By these themselves great incursions.,8,2,1,1,2,B,Et par eux mesmes grandes incursions,By these themselves great incursions.,
2000103,"Rains, frosts will make the soil uneven,",8,2,1,2,3,A,"Pluyes, gelees feront terroirs iniques","Rains, frosts will make the soil uneven,",
2000104,Port Selyn will make mighty invasions,8,2,1,2,4,B,Port Selyn fortes fera inuasions.,Port Selyn will make mighty invasions,
3000101,"After combat and naval battle,",9,3,1,1,1,A,"A Pres combat & bataille nauale,","After combat and naval battle,",
3000102,The great Neptune in his highest belfry:,9,3,1,1,2,B,Le grand Neptun à son plus haut beffroy.,The great Neptune in his highest belfry:,
3000103,"Red adversary will become pale with fear,",9,3,1,2,3,A,Rouge aduersaire de peur deuiendra pasle,"Red adversary will become pale with fear,",
3000104,Putting the great Ocean in dread.,9,3,1,2,4,B,Mettât le grâd Ocean en effroy.,Putting the great Ocean in dread.,
4000101,That of the remainder of blood unshed:,10,4,1,1,1,A,"CEla du reste de sang non espandu,",That of the remainder of blood unshed:,
4000102,Venice demands that relief be given:,10,4,1,1,2,B,"Venise quiert secours estre donné,",Venice demands that relief be given:,
4000103,"After having waited a very long time,",10,4,1,2,3,A,"Apres quoir bien long temps attendu,","After having waited a very long time,",
4000104,City delivered up at the first sound of the horn.,10,4,1,2,4,B,Cite liuree au premier cornet sonné.,City delivered up at the first sound of the horn.,
5000101,"Before the coming of Celtic ruin,",11,5,1,1,1,A,"A Vant venuë de ruyne Celtique,","Before the coming of Celtic ruin,",
5000102,In the temple two will parley,11,5,1,1,2,B,"Dedans le temple deux parlementerôt,",In the temple two will parley,
5000103,"Pike and dagger to the heart of one mounted on the steed,",11,5,1,2,3,A,"Poignar cœur, d'vn monté au coursier & pique","Pike and dagger to the heart of one mounted on the steed,",
5000104,They will bury the great one without making any noise.,11,5,1,2,4,B,Sans faire bruit le grand enterreront.,They will bury the great one without making any noise.,
6000101,Around the Pyrenees mountains a great throng,12,6,1,1,1,A,"AV tour des monts Pyrennees grand amas,",Around the Pyrenees mountains a great throng,
6000102,Of foreign people to aid the new King:,12,6,1,1,2,B,"De gent estrange, secourir Roy nouueau :",Of foreign people to aid the new King:,
6000103,"Near the great temple of Le Mas by the Garonne,",12,6,1,2,3,A,"Pres de Garonne du grand temple du Mas,","Near the great temple of Le Mas by the Garonne,",
6000104,A Roman chief will fear him in the water.,12,6,1,2,4,B,Vn Romain chef le craindra dedans l'eau.,A Roman chief will fear him in the water.,
7000201,"Opened by Mars Arles will not give war,",1,7,2,1,1,A,"Par Mars ouuert Arles ne donra guerre,","Opened by Mars Arles will not give war,",
7000202,the soldiers will be astonished by night.,1,7,2,1,2,B,De nuict seront les soldats estonnez :,the soldiers will be astonished by night.,
7000203,Black and white concealing indigo on land,1,7,2,2,3,A,"Noir, blanc à l'inde dissimulé en terre,",Black and white concealing indigo on land,
7000204,under the false shadow you will see traitors sounded.,1,7,2,2,4,B,Sous la saincte ombre traistre verrez & sonnez.,under the false shadow you will see traitors sounded.,
8000201,"Condom and Auch and around Mirande,",2,8,2,1,1,A,Condon & Aux & autour de Mirande,"Condom and Auch and around Mirande,","Several will come, and speak of peace,"
8000202,I see fire from the sky which encompasses them.,2,8,2,1,2,B,Ie voy du ciel feu qui les enuironne.,I see fire from the sky which encompasses them.,Between Monarchs and very powerful lords:
8000203,"Sun and Mars conjoined in Leo, then at Marmande,",2,8,2,2,3,A,"Sol Mars conioint au Lyon, puis Marmande","Sun and Mars conjoined in Leo, then at Marmande,","But it will not be accorded so soon,"
8000204,"lightning, great hail, a wall falls into the Garonne.",2,8,2,2,4,B,"Foudre, grand gresle, mur tombe dans Garonne.","lightning, great hail, a wall falls into the Garonne.",Unless they become more obedient than the others.
9000201,"From the top of the Aventine hill a voice heard,",3,9,2,1,1,A,"Du hault du mont Auentin voix ouye,","From the top of the Aventine hill a voice heard,",
9000202,"Be gone, be gone all of you on both sides:",3,9,2,1,2,B,"Vuidez, vuidez de tous les deux costez,","Be gone, be gone all of you on both sides:",
9000203,"The anger will be appeased by the blood of the red ones,",3,9,2,2,3,A,"Du sang des rouges sera l'ire assomie,","The anger will be appeased by the blood of the red ones,",
9000204,"From Rimini and Prato, the Colonna expelled.",3,9,2,2,4,B,"D'Arimin Prato, Columna debotez.","From Rimini and Prato, the Colonna expelled.",
10000201,"The ship's veil will hide the sail galley,",4,10,2,1,1,A,"Voile gallere voil de nef cachera,","The ship's veil will hide the sail galley,",
10000202,The great fleet will come the lesser one to go out:,4,10,2,1,2,B,"La grande classe viendra sortir la moindre,",The great fleet will come the lesser one to go out:,
10000203,"Ten ships near will turn to drive it back,",4,10,2,2,3,A,"Dix naues proches le tourneront poulser,","Ten ships near will turn to drive it back,",
10000204,The great one conquered the united ones to join to itself.,4,10,2,2,4,B,Grande vaincue vnies à soy ioindre.,The great one conquered the united ones to join to itself.,
11000201,How much gold and silver will have to be spent,5,11,2,1,1,A,"Qui d'or, d'argent fera deƒpendre,",How much gold and silver will have to be spent,
11000202,"When the Count will desire to take the town,",5,11,2,1,2,A,"Quand Comte voudra ville prendre,","When the Count will desire to take the town,",
11000203,"Many thousands and thousands of soldiers,",5,11,2,2,3,B,"Tant de mille & mille ƒoldats,","Many thousands and thousands of soldiers,",
11000204,"Drowned, killed, without doing anything there,",5,11,2,3,4,C,"Tuez noyez, ƒans y rien faire,","Drowned, killed, without doing anything there,",
11000205,"In stronger land will he set foot,",5,11,2,3,5,C,"Dans plus forte mettra pied terre,","In stronger land will he set foot,",
11000206,Pygmy aid by the Copy-holders.,5,11,2,2,6,B,Pigmeé ay dé des Cenƒaurts.,Pygmy aid by the Copy-holders.,
12000201,#VALUE!,6,12,2,1,1,A,,,
12000202,#VALUE!,6,12,2,1,2,B,,,
12000203,#VALUE!,6,12,2,2,3,A,,,
12000204,#VALUE!,6,12,2,2,4,B,,,
1000201,The wand in the hand is placed in the middle of the tripod's legs.,7,1,2,1,1,A,"La verge en main mise au milieu des branches,",The wand in the hand is placed in the middle of the tripod's legs.,
1000202,With water he sprinkles both the hem of his garment and his foot.,7,1,2,1,2,B,"De l'onde il moulle le limbe & le pied,",With water he sprinkles both the hem of his garment and his foot.,
1000203,"A voice, fear: he trembles in his robes.",7,1,2,2,3,A,"Vn peur & voix fremissent par les manches,","A voice, fear: he trembles in his robes.",
1000204,Divine splendor; the God sits nearby.,7,1,2,2,4,B,"Splendeur diuine, le diuin pres s'assied.",Divine splendor; the God sits nearby.,
2000201,The blue head will inflict upon the white head,8,2,2,1,1,A,La teste bleuë fera la teste blanche,The blue head will inflict upon the white head,
2000202,As much evil as France has done them good:,8,2,2,1,2,B,"Autant de mal que France à fait leur bien,",As much evil as France has done them good:,
2000203,Dead at the sail-yard the great one hung on the branch.,8,2,2,2,3,A,"Mort à l'anthenne, grand pendu sur la branche,",Dead at the sail-yard the great one hung on the branch.,
2000204,When seized by his own the King will say how much.,8,2,2,2,4,B,Quand des prins siens le Roy dira combien.,When seized by his own the King will say how much.,
3000201,"The divine word will give to the sustenance,",9,3,2,1,1,A,"Le diuin verbe pourra à la substance,","The divine word will give to the sustenance,",
3000202,"Including heaven, earth, gold hidden in the mystic milk:",9,3,2,1,2,B,"Comprins ciel, terre, or occult au fait mystique","Including heaven, earth, gold hidden in the mystic milk:",
3000203,"Body, soul, spirit having all power,",9,3,2,2,3,A,"Corps, ame, esprit ayant toute puissance,","Body, soul, spirit having all power,",
3000204,As much under its feet as the Heavenly see.,9,3,2,2,4,B,Tant soubs ses pieds comme au siege Celique.,As much under its feet as the Heavenly see.,
4000201,"Because of death France will take to making a journey,",10,4,2,1,1,A,"Par mort la France prendra voyage à faire,","Because of death France will take to making a journey,",
4000202,"Fleet by sea, marching over the Pyrenees Mountains,",10,4,2,1,2,B,"Classe par mer, marcher monts Pyrenees,","Fleet by sea, marching over the Pyrenees Mountains,",
4000203,"Spain in trouble, military people marching:",10,4,2,2,3,A,"Espagne en trouble, marcher gent militaire,","Spain in trouble, military people marching:",
4000204,Some of the greatest Ladies carried off to France.,10,4,2,2,4,B,Des plus grand; dames en France emmenees.,Some of the greatest Ladies carried off to France.,
5000201,Seven conspirators at the banquet will cause to flash,11,5,2,1,1,A,"Sept coniurez au banquet feront luyre,",Seven conspirators at the banquet will cause to flash,
5000202,The iron out of the ship against the three:,11,5,2,1,2,B,"Contre les trois le fer hors de nauire,",The iron out of the ship against the three:,
5000203,"One will have the two fleets brought to the great one,",11,5,2,2,3,A,"L'vn les deux classes au grand fera conduire,","One will have the two fleets brought to the great one,",
5000204,When through the evil the latter shoots him in the forehead.,11,5,2,2,4,B,Quand par le mail denier au front luy tire.,When through the evil the latter shoots him in the forehead.,
6000201,"In the year five hundred eighty more or less,",12,6,2,1,1,A,En l'an cinq cens octante plus & moins,"In the year five hundred eighty more or less,",
6000202,One will await a very strange century:,12,6,2,1,2,B,On attend le siecle bien estrange :,One will await a very strange century:,
6000203,"In the year seven hundred and three the heavens witness thereof,",12,6,2,2,3,A,En l'an sept cens & trois (cieux en tesmoins),"In the year seven hundred and three the heavens witness thereof,",
6000204,That several kingdoms one to five will make a change.,12,6,2,2,4,B,Aue plusieurs regnes vn à cinq feront change.,That several kingdoms one to five will make a change.,
7000301,"After the naval victory of France,",1,7,3,1,1,A,"Apres de France la victoire nauale,","After the naval victory of France,",
7000302,the people of Barcelona the Saillinons and those of Marseilles;,1,7,3,1,2,B,"Les Barchinons, Sallinons, les Phocens,",the people of Barcelona the Saillinons and those of Marseilles;,
7000303,"the robber of gold, the anvil enclosed in the ball,",1,7,3,2,3,A,"Lierre d'or, l'enclume serré dedans la balle,","the robber of gold, the anvil enclosed in the ball,",
7000304,the people of Ptolon will be party to the fraud.,1,7,3,2,4,B,Ceux de Prolon au fraud seront contens.,the people of Ptolon will be party to the fraud.,
8000301,Within the strong castle of Vigilance and Resviers,2,8,3,1,1,A,Au fort chasteau de Vigilanue & Resuiers,Within the strong castle of Vigilance and Resviers,Alas what a fury ! Alas what a pity
8000302,the younger born of Nancy will be shut up.,2,8,3,1,2,B,Sera serré le puisnay de Nancy :,the younger born of Nancy will be shut up.,Will there be between people:
8000303,"In Turin the first ones will be burned,",2,8,3,2,3,A,"Dedans Turin seront ards les premiers,","In Turin the first ones will be burned,",never did one see such a friendship
8000304,when Lyons will be transported with grief.,2,8,3,2,4,B,Lors que de dueil Luon sera transy.,when Lyons will be transported with grief.,As the wolves will have diligent in running.
9000301,"The ""great cow"" at Racenna in great trouble,",3,9,3,1,1,A,"La magna vaqua à Rauenne grand trouble,","The ""great cow"" at Racenna in great trouble,",
9000302,Led by fifteen shut up at Fornase:,3,9,3,1,2,B,Conduicts par quinze enserrez à Fornase :,Led by fifteen shut up at Fornase:,
9000303,"At Rome there will be born two double-headed monsters,",3,9,3,2,3,A,"A Rome naistra deux monstres à teste double,","At Rome there will be born two double-headed monsters,",
9000304,"Blood, fire, flood, the greatest ones in space.",3,9,3,2,4,B,"Sang, feu, deluge, les plus grands à l'espase.","Blood, fire, flood, the greatest ones in space.",
10000301,"After that five will not put out the flock,",4,10,3,1,1,A,En apres cinq troupeau ne mettra hors,"After that five will not put out the flock,",
10000302,A fugitive for Penelon he will turn loose:,4,10,3,1,2,B,"Vn fuytif pour Penelon laschera,",A fugitive for Penelon he will turn loose:,
10000303,"To murmur falsely then help to come,",4,10,3,2,3,A,"Faux murmurer secours venir par lors,","To murmur falsely then help to come,",
10000304,The chief will then abandon the siege.,4,10,3,2,4,B,"Le chef, le siege lors abandonnera.",The chief will then abandon the siege.,
11000301,"The Town without above below,",5,11,3,1,1,A,"La ville ƒans deƒƒus deƒƒous,","The Town without above below,",
11000302,Overturned by a thousand shots,5,11,3,1,2,A,Renuerƒée de mille coups,Overturned by a thousand shots,
11000303,From cannons: and fortifications underground:,5,11,3,2,3,B,De canons & forts deƒƒous terre :,From cannons: and fortifications underground:,
11000304,"Five years will it hold: everything delivered up,",5,11,3,3,4,C,"Cinq ans tiendra : le tout remis,","Five years will it hold: everything delivered up,",
11000305,"And left for its enemies,",5,11,3,3,5,C,"Et laƒchée á ƒes ennemis,","And left for its enemies,",
11000306,The water will make war upon them afterwards.,5,11,3,2,6,B,L'eau leur fera apres la guerre.,The water will make war upon them afterwards.,
12000301,#VALUE!,6,12,3,1,1,A,,,
12000302,#VALUE!,6,12,3,1,2,B,,,
12000303,#VALUE!,6,12,3,2,3,A,,,
12000304,#VALUE!,6,12,3,2,4,B,,,
1000301,When the litters are overturned by the whirlwind,7,1,3,1,1,A,Quand la lictiere du tourbillon versee,When the litters are overturned by the whirlwind,
1000302,"and faces are covered by cloaks,",7,1,3,1,2,B,"Et seront faces de leurs manteaux couuerts,","and faces are covered by cloaks,",
1000303,the new republic will be troubled by its people.,7,1,3,2,3,A,"La republique par gens nouueaux vexee,",the new republic will be troubled by its people.,
1000304,At this time the reds and the whites will rule wrongly.,7,1,3,2,4,B,Lors blancs & rouges iugeront à l'enuers.,At this time the reds and the whites will rule wrongly.,
2000301,Because of the solar heat on the sea,8,2,3,1,1,A,Pour la chaleur solaire sus la mer,Because of the solar heat on the sea,
2000302,From Negrepont the fishes half cooked:,8,2,3,1,2,B,"De Negrepont les poissons demy cuits,",From Negrepont the fishes half cooked:,
2000303,"The inhabitants will come to cut them,",8,2,3,2,3,A,Les habitans les viendront entamer,"The inhabitants will come to cut them,",
2000304,When food will fail in Rhodes and Genoa.,8,2,3,2,4,B,Quand Rod & Gennes leur faudra le biscuit.,When food will fail in Rhodes and Genoa.,
3000301,"Mars and Mercury, and the silver joined together,",9,3,3,1,1,A,Mars & Mercure & l'argent ioint ensemble,"Mars and Mercury, and the silver joined together,",
3000302,Towards the south extreme drought:,9,3,3,1,2,B,"Vers le midy extréme siccité,",Towards the south extreme drought:,
3000303,"In the depths of Asia one will say the earth trembles,",9,3,3,2,3,A,"Au fond d'Asie on dit à terre tremble,","In the depths of Asia one will say the earth trembles,",
3000304,"Corinth, Ephesus then in perplexity.",9,3,3,2,4,B,"Corinthe, Ephese lors en perplexité.","Corinth, Ephesus then in perplexity.",
4000301,"From Arras and Bourges many banners of Dusky Ones,",10,4,3,1,1,A,D'Arras & Bourges de Brodes grands enseignes,"From Arras and Bourges many banners of Dusky Ones,",
4000302,"A greater number of Gascons to fight on foot,",10,4,3,1,2,B,"Vn plus grand nombre de Gascons battre à pied,","A greater number of Gascons to fight on foot,",
4000303,Those along the Rhône will bleed the Spanish:,10,4,3,2,3,A,"Ceux long du Rosne saigneront les Espagnes,",Those along the Rhône will bleed the Spanish:,
4000304,Near the mountain where Sagunto sits.,10,4,3,2,4,B,Proche du mont ou Sagonte s'assied.,Near the mountain where Sagunto sits.,
5000301,"The successor to the Duchy will come,",11,5,3,1,1,A,"Le successeur de la Duché viendra,","The successor to the Duchy will come,",
5000302,Very far beyond the Tuscan Sea:,11,5,3,1,2,B,"Beaucoup plus outre que la mer de Toscane,",Very far beyond the Tuscan Sea:,
5000303,"A Gallic branch will hold Florence,",11,5,3,2,3,A,"Gauloise branche la Florence tiendra,","A Gallic branch will hold Florence,",
5000304,The nautical Frog in its bosom be agreement.,11,5,3,2,4,B,Dans son giron d'accord nautique Rane.,The nautical Frog in its bosom be agreement.,
6000301,The river that tries the new Celtic heir,12,6,3,1,1,A,"Fleuue qu'esprouue le nouueau nay Celtique,",The river that tries the new Celtic heir,
6000302,Will be in great discord with the Empire:,12,6,3,1,2,B,Sera en grande de l'Empire discorde :,Will be in great discord with the Empire:,
6000303,The young Prince through the ecclesiastical people,12,6,3,2,3,A,"Le ieune prince par gent Ecclesiastique,",The young Prince through the ecclesiastical people,
6000304,Will remove the scepter of the crown of concord.,12,6,3,2,4,B,Ostera le sceptre coronal de concorde.,Will remove the scepter of the crown of concord.,
7000401,The Duke of Langres besieged at Dôle,1,7,4,1,1,A,"Le Duc de Langres assiegé dedans Dole,",The Duke of Langres besieged at Dôle,
7000402,accompanied by people from Autun and Lyons.,1,7,4,1,2,B,Accompagné d'Ostun & Lyonnois :,accompanied by people from Autun and Lyons.,
7000403,"Geneva, Augsburg allied to those of Mirandola,",1,7,4,2,3,A,"Ceneue, Auspourg ioinct ceux de Mirandole,","Geneva, Augsburg allied to those of Mirandola,",
7000404,to cross the mountains against the people of Ancona.,1,7,4,2,4,B,Passer les monts conter les Anconnois.,to cross the mountains against the people of Ancona.,
8000401,"The cock will be received into Monace,",2,8,4,1,1,A,"Dedans Monech le coq sera receu,","The cock will be received into Monace,",Many people will want to come to terms
8000402,the Cardinal of France will appear;,2,8,4,1,2,B,Le Cardinal de France apparoistra,the Cardinal of France will appear;,With the great lords who will bring war upon them:
8000403,He will be deceived by the Roman legation;,2,8,4,2,3,A,"Par Logarion Romain sera deceu,",He will be deceived by the Roman legation;,"They will not want to hear anything of it from them,"
8000404,"weakness to the eagle, strength will be born to the cock.",2,8,4,2,4,B,"Foiblesse à l'Aigle, & force au Coq naistra.","weakness to the eagle, strength will be born to the cock.",Alas! if Gos does not send peace to the earth.
9000401,"The following year discoveries through flood,",3,9,4,1,1,A,"L'an ensuyuant descouuerts par deluge,","The following year discoveries through flood,",
9000402,"Two chiefs elected, the first one will not hold:",3,9,4,1,2,B,"Deux chefs esleuz, le premier ne tiendra","Two chiefs elected, the first one will not hold:",
9000403,"The refuge for the one of them fleeing a shadow,",3,9,4,2,3,A,"De fuyr ombre à l'vn d'eux le refuge,","The refuge for the one of them fleeing a shadow,",
9000404,The house of which will maintain the first one plundered.,3,9,4,2,4,B,Saccagée case qui premier maintiendra.,The house of which will maintain the first one plundered.,
10000401,At midnight the leader of the army,4,10,4,1,1,A,Sus la minuict conducteur de l'armée,At midnight the leader of the army,
10000402,"Will save himself, suddenly vanished:",4,10,4,1,2,B,"Se sauuera subit esuanouy,","Will save himself, suddenly vanished:",
10000403,"Seven years later his reputation unblemished,",4,10,4,2,3,A,"Sept ans apres la fame non blasmée,","Seven years later his reputation unblemished,",
10000404,To his return they will never say yes.,4,10,4,2,4,B,A son retour ne dira oncq ouy.,To his return they will never say yes.,
11000401,"Of a circle, of a lily, there will be born a very great Prince,",5,11,4,1,1,A,"D'vn rond d'vn Lys naiƒtra vn ƒi grand Prince,","Of a circle, of a lily, there will be born a very great Prince,",
11000402,"Very soon, and late come into his Province,",5,11,4,1,2,A,"Bien toƒt & tard venu dans ƒa Prouince,","Very soon, and late come into his Province,",
11000403,Saturn in Libra in exaltation:,5,11,4,2,3,B,Saturne en libra en exaltation :,Saturn in Libra in exaltation:,
11000404,"The House of Venus in decreasing force,",5,11,4,3,4,C,Maiƒaon de Venus en decroiƒƒante force.,"The House of Venus in decreasing force,",
11000405,"The Lady thereafter masculine under the bark,",5,11,4,3,5,C,"Dame en apres maƒcu in ƒous l'eƒcorce,","The Lady thereafter masculine under the bark,",
11000406,In order to maintain the happy Bourbon blood.,5,11,4,2,6,B,Pour maintenir l'heureux ƒang de Bourbon.,In order to maintain the happy Bourbon blood.,
12000401,"Fire, flame, hunger, robber, wild smoke,",6,12,4,1,1,A,"FEu, flamme, faim, furt, farouche, fumée","Fire, flame, hunger, robber, wild smoke,",
12000402,"It will cause to fail, striking hard, to destroy faith:",6,12,4,1,2,B,"Fera faillir, froissant fort, foy faucher :","It will cause to fail, striking hard, to destroy faith:",
12000403,"Arrow of ""DentÈ"" all Provence sucked up,",6,12,4,2,3,A,Fils de Denté. toute Prouence humée.,"Arrow of ""DentÈ"" all Provence sucked up,",
12000404,"Driven out of the realm, enraged without spitting.",6,12,4,2,4,B,"Chassé de regne, enragé sans cracher.","Driven out of the realm, enraged without spitting.",
1000401,In the world there will be made a king,7,1,4,1,1,A,"Par l'vniuers sera fait vn Monarque,",In the world there will be made a king,
1000402,who will have little peace and a short life.,7,1,4,1,2,B,"Qu'en paix & vie ne sera longuement,",who will have little peace and a short life.,
1000403,"At this time the ship of the Papacy will be lost,",7,1,4,2,3,A,"Lors se perdra la piscature barque,","At this time the ship of the Papacy will be lost,",
1000404,governed to its greatest detriment.,7,1,4,2,4,B,Sera regie en plus grand detriment.,governed to its greatest detriment.,
2000401,From Monaco to near Sicily,8,2,4,1,1,A,Depuis Monech iusqu'au pres de Sicile,From Monaco to near Sicily,
2000402,The entire coast will remain desolated:,8,2,4,1,2,B,"Toute la plage demourra desolee,",The entire coast will remain desolated:,
2000403,"There will remain there no suburb, city or town",8,2,4,2,3,A,"Il n'y aura faux-bourgs, Cité ne Ville","There will remain there no suburb, city or town",
2000404,Not pillaged and robbed by the Barbarians.,8,2,4,2,4,B,Que par Barbare pillee & vollee.,Not pillaged and robbed by the Barbarians.,
3000401,"When they will be close the lunar ones will fail,",9,3,4,1,1,A,"Quand seront proches le deffaut des lunaires,","When they will be close the lunar ones will fail,",
